premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2,output_text,output_label,preds,choice,is_correct
The item was packaged in bubble wrap.,It was fragile.,It was small.,cause,hard,1,0,test,question: the item was packaged in bubble wrap. what is the most plausible cause? options: a) it was fragile b) it was small,it was fragile,copa,it was fragile,it was small,a) it was fragile,a,a) it was fragile,a,1
I emptied my pockets.,I retrieved a ticket stub.,I found a weapon.,effect,hard,1,0,test,question: i emptied my pockets. what is the most plausible effect? options: a) i retrieved a ticket stub b) i found a weapon,i retrieved a ticket stub,copa,i retrieved a ticket stub,i found a weapon,a) i retrieved a ticket stub,a,a) i retrieved a ticket stub,a,1
Termites invaded the house.,The termites disappeared from the house.,The termites ate through the wood in the house.,effect,hard,2,1,test,question: termites invaded the house. what is the most plausible effect? options: a) the termites disappeared from the house b) the termites ate through the wood in the house,the termites ate through the wood in the house,copa,the termites disappeared from the house,the termites ate through the wood in the house,b) the termites ate through the wood in the house,b,b) the termites ate through the wood in the house,b,1
The travelers reached the border.,The patrol agent checked their passports.,The patrol agent accused them of smuggling.,effect,hard,1,0,test,question: the travelers reached the border. what is the most plausible effect? options: a) the patrol agent checked their passports b) the patrol agent accused them of smuggling,the patrol agent checked their passports,copa,the patrol agent checked their passports,the patrol agent accused them of smuggling,a) the patrol agent checked their passports,a,a) the patrol agent checked their passports,a,1
The office was closed.,It was a holiday.,It was summer.,cause,hard,1,0,test,question: the office was closed. what is the most plausible cause? options: a) it was a holiday b) it was summer,it was a holiday,copa,it was a holiday,it was summer,a) it was a holiday,a,a) it was a holiday,a,1
The girl ran out of energy.,She played checkers.,She jumped rope.,cause,hard,2,1,test,question: the girl ran out of energy. what is the most plausible cause? options: a) she played checkers b) she jumped rope,she jumped rope,copa,she played checkers,she jumped rope,b) she jumped rope,b,b) she jumped rope,b,1
The woman lost her place in line.,More people entered the line.,She stepped out of the line.,cause,hard,2,1,test,question: the woman lost her place in line. what is the most plausible cause? options: a) more people entered the line b) she stepped out of the line,she stepped out of the line,copa,more people entered the line,she stepped out of the line,b) she stepped out of the line,b,b) she stepped out of the line,b,1
The girl pinched her nose.,The baby drooled on her bib.,The baby soiled her diaper.,cause,hard,2,1,test,question: the girl pinched her nose. what is the most plausible cause? options: a) the baby drooled on her bib b) the baby soiled her diaper,the baby soiled her diaper,copa,the baby drooled on her bib,the baby soiled her diaper,b) the baby soiled her diaper,b,b) the baby soiled her diaper,b,1
The band played their hit song.,The audience clapped along to the music.,The audience politely listened in silence.,effect,hard,1,0,test,question: the band played their hit song. what is the most plausible effect? options: a) the audience clapped along to the music b) the audience politely listened in silence,the audience clapped along to the music,copa,the audience clapped along to the music,the audience politely listened in silence,a) the audience clapped along to the music,a,a) the audience clapped along to the music,a,1
The girl wanted to thank her math teacher.,The girl stayed after school for detention.,The girl brought the teacher an apple.,effect,hard,2,1,test,question: the girl wanted to thank her math teacher. what is the most plausible effect? options: a) the girl stayed after school for detention b) the girl brought the teacher an apple,the girl brought the teacher an apple,copa,the girl stayed after school for detention,the girl brought the teacher an apple,b) the girl brought the teacher an apple,b,b) the girl brought the teacher an apple,b,1
The young campers felt scared.,Their camp counselor told them a ghost story.,They toasted marshmallows on the campfire.,cause,easy,1,0,test,question: the young campers felt scared. what is the most plausible cause? options: a) their camp counselor told them a ghost story b) they toasted marshmallows on the campfire,their camp counselor told them a ghost story,copa,their camp counselor told them a ghost story,they toasted marshmallows on the campfire,a) their camp counselor told them a ghost story,a,a) their camp counselor told them a ghost story,a,1
The man hit his head.,He got lost in thought.,He got a concussion.,effect,easy,2,1,test,question: the man hit his head. what is the most plausible effect? options: a) he got lost in thought b) he got a concussion,he got a concussion,copa,he got lost in thought,he got a concussion,b) he got a concussion,b,b) he got a concussion,b,1
The check I wrote bounced.,My bank account was empty.,I earned a pay raise.,cause,hard,1,0,test,question: the check i wrote bounced. what is the most plausible cause? options: a) my bank account was empty b) i earned a pay raise,my bank account was empty,copa,my bank account was empty,i earned a pay raise,a) my bank account was empty,a,a) my bank account was empty,a,1
The man's email inbox was full of spam.,He deleted the spam.,He sent out a mass email.,effect,hard,1,0,test,question: the man's email inbox was full of spam. what is the most plausible effect? options: a) he deleted the spam b) he sent out a mass email,he deleted the spam,copa,he deleted the spam,he sent out a mass email,a) he deleted the spam,a,b) he sent out a mass email,b,0
The sailor was quarantined.,He was exposed to the disease.,He recovered from the disease.,cause,easy,1,0,test,question: the sailor was quarantined. what is the most plausible cause? options: a) he was exposed to the disease b) he recovered from the disease,he was exposed to the disease,copa,he was exposed to the disease,he recovered from the disease,a) he was exposed to the disease,a,a) he was exposed to the disease,a,1
The girl memorized the code.,She recited it to herself.,She forgot to write it down.,cause,hard,1,0,test,question: the girl memorized the code. what is the most plausible cause? options: a) she recited it to herself b) she forgot to write it down,she recited it to herself,copa,she recited it to herself,she forgot to write it down,a) she recited it to herself,a,b) she forgot to write it down,b,0
I poured the water into the glass.,The water quenched my thirst.,The glass became full.,effect,hard,2,1,test,question: i poured the water into the glass. what is the most plausible effect? options: a) the water quenched my thirst b) the glass became full,the glass became full,copa,the water quenched my thirst,the glass became full,b) the glass became full,b,b) the glass became full,b,1
The man remained silent when his friend finishing speaking.,He wanted to offer his friend support.,He was thinking about his friend's words.,cause,hard,2,1,test,question: the man remained silent when his friend finishing speaking. what is the most plausible cause? options: a) he wanted to offer his friend support b) he was thinking about his friends words,he was thinking about his friends words,copa,he wanted to offer his friend support,he was thinking about his friends words,b) he was thinking about his friends words,b,b) he was thinking about his friends words,b,1
The accident was my fault.,I felt guilty.,I pressed charges.,effect,hard,1,0,test,question: the accident was my fault. what is the most plausible effect? options: a) i felt guilty b) i pressed charges,i felt guilty,copa,i felt guilty,i pressed charges,a) i felt guilty,a,b) i pressed charges,b,0
The chain came apart.,The chain was wrapped around a tire.,There was a broken link in the chain.,cause,easy,2,1,test,question: the chain came apart. what is the most plausible cause? options: a) the chain was wrapped around a tire b) there was a broken link in the chain,there was a broken link in the chain,copa,the chain was wrapped around a tire,there was a broken link in the chain,b) there was a broken link in the chain,b,b) there was a broken link in the chain,b,1
The couple decided to compromise.,They grew tired of arguing.,They avoided discussing the problem.,cause,hard,1,0,test,question: the couple decided to compromise. what is the most plausible cause? options: a) they grew tired of arguing b) they avoided discussing the problem,they grew tired of arguing,copa,they grew tired of arguing,they avoided discussing the problem,a) they grew tired of arguing,a,b) they avoided discussing the problem,b,0
The woman decided to run for public office.,She hired a campaign manager.,She testified in court.,effect,hard,1,0,test,question: the woman decided to run for public office. what is the most plausible effect? options: a) she hired a campaign manager b) she testified in court,she hired a campaign manager,copa,she hired a campaign manager,she testified in court,a) she hired a campaign manager,a,a) she hired a campaign manager,a,1
The man anticipated cold weather on his trip.,He packed warm clothing in his suitcase.,He travelled with a big suitcase.,effect,hard,1,0,test,question: the man anticipated cold weather on his trip. what is the most plausible effect? options: a) he packed warm clothing in his suitcase b) he travelled with a big suitcase,he packed warm clothing in his suitcase,copa,he packed warm clothing in his suitcase,he travelled with a big suitcase,a) he packed warm clothing in his suitcase,a,a) he packed warm clothing in his suitcase,a,1
The student knew the answer to the question.,He raised his hand.,He goofed off.,effect,easy,1,0,test,question: the student knew the answer to the question. what is the most plausible effect? options: a) he raised his hand b) he goofed off,he raised his hand,copa,he raised his hand,he goofed off,a) he raised his hand,a,a) he raised his hand,a,1
The man's eyes watered.,Dust got into his eyes.,He put goggles over his eyes.,cause,hard,1,0,test,question: the man's eyes watered. what is the most plausible cause? options: a) dust got into his eyes b) he put goggles over his eyes,dust got into his eyes,copa,dust got into his eyes,he put goggles over his eyes,a) dust got into his eyes,a,b) he put goggles over his eyes,b,0
The player won five games in a row.,Her opponent accused her of cheating.,Her opponent felt sorry for her.,effect,easy,1,0,test,question: the player won five games in a row. what is the most plausible effect? options: a) her opponent accused her of cheating b) her opponent felt sorry for her,her opponent accused her of cheating,copa,her opponent accused her of cheating,her opponent felt sorry for her,a) her opponent accused her of cheating,a,b) her opponent felt sorry for her,b,0
The teacher tore up the student's exam.,He caught the student cheating.,The student's answers were incorrect.,cause,easy,1,0,test,question: the teacher tore up the student's exam. what is the most plausible cause? options: a) he caught the student cheating b) the students answers were incorrect,he caught the student cheating,copa,he caught the student cheating,the students answers were incorrect,a) he caught the student cheating,a,b) the students answers were incorrect,b,0
I paused to stop talking.,I lost my voice.,I ran out of breath.,cause,easy,2,1,test,question: i paused to stop talking. what is the most plausible cause? options: a) i lost my voice b) i ran out of breath,i ran out of breath,copa,i lost my voice,i ran out of breath,b) i ran out of breath,b,a) i lost my voice,a,0
The frozen food thawed.,I put it in the microwave.,I covered it with plastic wrap.,cause,easy,1,0,test,question: the frozen food thawed. what is the most plausible cause? options: a) i put it in the microwave b) i covered it with plastic wrap,i put it in the microwave,copa,i put it in the microwave,i covered it with plastic wrap,a) i put it in the microwave,a,a) i put it in the microwave,a,1
The employee faked sick.,He had stomach cramps.,He wanted a day off.,cause,hard,2,1,test,question: the employee faked sick. what is the most plausible cause? options: a) he had stomach cramps b) he wanted a day off,he wanted a day off,copa,he had stomach cramps,he wanted a day off,b) he wanted a day off,b,a) he had stomach cramps,a,0
The girl landed in the pool.,She ran on the pool deck.,She jumped off the diving board.,cause,easy,2,1,test,question: the girl landed in the pool. what is the most plausible cause? options: a) she ran on the pool deck b) she jumped off the diving board,she jumped off the diving board,copa,she ran on the pool deck,she jumped off the diving board,b) she jumped off the diving board,b,b) she jumped off the diving board,b,1
The movie tickets sold out.,It was opening day for the movie.,The movie received poor reviews.,cause,hard,1,0,test,question: the movie tickets sold out. what is the most plausible cause? options: a) it was opening day for the movie b) the movie received poor reviews,it was opening day for the movie,copa,it was opening day for the movie,the movie received poor reviews,a) it was opening day for the movie,a,a) it was opening day for the movie,a,1
The man lost weight.,People isolated him.,People complimented him.,effect,easy,2,1,test,question: the man lost weight. what is the most plausible effect? options: a) people isolated him b) people complimented him,people complimented him,copa,people isolated him,people complimented him,b) people complimented him,b,b) people complimented him,b,1
The girl's hands became blistered.,She typed up a letter.,She climbed up a rope.,cause,easy,2,1,test,question: the girl's hands became blistered. what is the most plausible cause? options: a) she typed up a letter b) she climbed up a rope,she climbed up a rope,copa,she typed up a letter,she climbed up a rope,b) she climbed up a rope,b,b) she climbed up a rope,b,1
The circus performer juggled while riding a unicycle.,The audience cheered in astonishment.,The acrobat swung from a trapeze.,effect,hard,1,0,test,question: the circus performer juggled while riding a unicycle. what is the most plausible effect? options: a) the audience cheered in astonishment b) the acrobat swung from a trapeze,the audience cheered in astonishment,copa,the audience cheered in astonishment,the acrobat swung from a trapeze,a) the audience cheered in astonishment,a,a) the audience cheered in astonishment,a,1
I lost my patience.,My friend kept me waiting.,My friend arrived on time.,cause,hard,1,0,test,question: i lost my patience. what is the most plausible cause? options: a) my friend kept me waiting b) my friend arrived on time,my friend kept me waiting,copa,my friend kept me waiting,my friend arrived on time,a) my friend kept me waiting,a,a) my friend kept me waiting,a,1
The warring countries wanted peace.,They developed nuclear weapons.,They negotiated a treaty.,effect,easy,2,1,test,question: the warring countries wanted peace. what is the most plausible effect? options: a) they developed nuclear weapons b) they negotiated a treaty,they negotiated a treaty,copa,they developed nuclear weapons,they negotiated a treaty,b) they negotiated a treaty,b,b) they negotiated a treaty,b,1
The man took sleeping medication.,He became drowsy.,He ran a fever.,effect,hard,1,0,test,question: the man took sleeping medication. what is the most plausible effect? options: a) he became drowsy b) he ran a fever,he became drowsy,copa,he became drowsy,he ran a fever,a) he became drowsy,a,a) he became drowsy,a,1
The woman bumped into the sofa.,The leg of the sofa came loose.,She bruised her knee.,effect,hard,2,1,test,question: the woman bumped into the sofa. what is the most plausible effect? options: a) the leg of the sofa came loose b) she bruised her knee,she bruised her knee,copa,the leg of the sofa came loose,she bruised her knee,b) she bruised her knee,b,a) the leg of the sofa came loose,a,0
The boy squeezed the balloon.,The balloon popped.,The balloon flew away.,effect,hard,1,0,test,question: the boy squeezed the balloon. what is the most plausible effect? options: a) the balloon popped b) the balloon flew away,the balloon popped,copa,the balloon popped,the balloon flew away,a) the balloon popped,a,a) the balloon popped,a,1
They travelers checked into their hotel room.,They unpacked their suitcases.,They went to the airport.,effect,hard,1,0,test,question: they travelers checked into their hotel room. what is the most plausible effect? options: a) they unpacked their suitcases b) they went to the airport,they unpacked their suitcases,copa,they unpacked their suitcases,they went to the airport,a) they unpacked their suitcases,a,a) they unpacked their suitcases,a,1
I bit into the peach.,The peach bruised.,Juice spilled out.,effect,easy,2,1,test,question: i bit into the peach. what is the most plausible effect? options: a) the peach bruised b) juice spilled out,juice spilled out,copa,the peach bruised,juice spilled out,b) juice spilled out,b,b) juice spilled out,b,1
My hands became sticky.,I ate a doughnut.,I had a sweet tooth.,cause,easy,1,0,test,question: my hands became sticky. what is the most plausible cause? options: a) i ate a doughnut b) i had a sweet tooth,i ate a doughnut,copa,i ate a doughnut,i had a sweet tooth,a) i ate a doughnut,a,a) i ate a doughnut,a,1
I pushed the door.,The door opened.,The door locked.,effect,hard,1,0,test,question: i pushed the door. what is the most plausible effect? options: a) the door opened b) the door locked,the door opened,copa,the door opened,the door locked,a) the door opened,a,b) the door locked,b,0
